experiment,step,val_main,proxy_main,val_loss
Mistral-7B seed43,50,24.5,,
Mistral-7B seed43,100,22.5,,
Mistral-7B seed43,150,26.0,,
Mistral-7B seed43,200,22.0,,
Mistral-7B seed43,250,21.0,,
Mistral-7B seed43,300,26.0,,
Mistral-7B seed43,350,26.5,,
Mistral-7B seed43,400,23.0,,
Mistral-7B seed43,450,26.0,,
Mistral-7B seed43,500,24.5,,
Mistral-7B seed44,50,25.5,,
Mistral-7B seed44,100,26.0,,
Mistral-7B seed44,150,30.0,,
Mistral-7B seed44,200,22.0,,
Mistral-7B seed44,250,27.0,,
Mistral-7B seed44,300,25.5,,
Mistral-7B seed44,350,27.5,,
Mistral-7B seed44,400,26.5,,
Mistral-7B seed44,450,29.0,,
Mistral-7B seed44,500,28.0,,
Qwen2.5-7B cosine seed42,50,0.769587182717737,0.5673205907588617,
Qwen2.5-7B cosine seed42,100,0.7992693241262053,0.6529314933387103,
Qwen2.5-7B cosine seed42,150,0.8235710061145282,0.6355547431321606,
Qwen2.5-7B cosine seed42,200,0.8434675405098889,0.7122482899981963,
Qwen2.5-7B cosine seed42,250,0.8597574450990448,0.7563247671324488,
Qwen2.5-7B cosine seed42,300,0.8730944909508929,0.8144290758330934,
Qwen2.5-7B cosine seed42,350,0.884013940545012,0.8046764297466724,
Qwen2.5-7B cosine seed42,400,0.879247967559289,0.7888015217775063,
Qwen2.5-7B cosine seed42,450,0.8865674935139026,0.8732128695274869,
Qwen2.5-7B cosine seed42,500,0.8925602145108975,0.8426761878922315,
